"","t0","t1","t5","t22"
"144",3.93680398695708e-05,7.9850169485402e-05,7.91217391487209e-05,6.95824459018774e-05
"145",9.44179290139686e-05,3.93680398695708e-05,6.86197069744013e-05,6.98364953454075e-05
"146",5.90004904072694e-05,9.44179290139686e-05,7.54765662399737e-05,7.24341763239426e-05
"147",4.32917052217764e-05,5.90004904072694e-05,7.0975551623291e-05,7.25839555543051e-05
"148",8.29655737441958e-05,4.32917052217764e-05,6.31856667995974e-05,7.27908141596324e-05
"149",4.85574294960807e-05,8.29655737441958e-05,6.38087476513562e-05,7.36562008180636e-05
"150",7.2200694548995e-05,4.85574294960807e-05,6.56466255766582e-05,7.22150926141764e-05
"151",3.39949010821172e-05,7.2200694548995e-05,6.12031786836634e-05,7.18595729348217e-05
"152",3.12625396329597e-05,3.39949010821172e-05,5.6202060818633e-05,7.07054098124558e-05
"153",4.21925097370782e-05,3.12625396329597e-05,5.37962277008697e-05,7.05040638113298e-05
"154",2.83998022373567e-05,4.21925097370782e-05,4.56416148994462e-05,6.94568709965823e-05
"155",5.81941025223415e-05,2.83998022373567e-05,4.16100894477014e-05,6.85727559678654e-05
"156",4.97856734593158e-05,5.81941025223415e-05,3.88087710423707e-05,6.68519644062299e-05
"157",4.52624982050223e-05,4.97856734593158e-05,4.19669255178104e-05,6.71605667456808e-05
"158",3.0210746353885e-05,4.52624982050223e-05,4.47669172322229e-05,6.43868556691237e-05
"159",5.60552814684913e-05,3.0210746353885e-05,4.23705645555843e-05,6.26336023136423e-05
"160",3.29207411188975e-05,5.60552814684913e-05,4.79016604018112e-05,6.0173180563348e-05
"161",3.99759123802395e-05,3.29207411188975e-05,4.28469881211224e-05,5.65313342664966e-05
"162",6.5690564871671e-05,3.99759123802395e-05,4.08850359053071e-05,5.41721393409999e-05
"163",0.000117752997571822,6.5690564871671e-05,4.49706492386368e-05,5.44247271676164e-05
"164",9.10474472405541e-05,0.000117752997571822,6.24790994822243e-05,5.60723378076682e-05
"165",5.66572587466984e-05,9.10474472405541e-05,6.94775326366368e-05,5.6472624984955e-05
"166",5.69153694134635e-05,5.66572587466984e-05,7.4224836162197e-05,5.54184017695594e-05
"167",5.75481138626604e-05,5.69153694134635e-05,7.76127275688418e-05,5.62160076579182e-05
"168",5.7206034163876e-05,5.75481138626604e-05,7.59842373670397e-05,5.45401069692223e-05
"169",9.76495232162059e-05,5.7206034163876e-05,6.38748446854505e-05,5.44585407763408e-05
"170",6.48851455318859e-05,9.76495232162059e-05,6.51952598805809e-05,5.69293506851785e-05
"171",6.72419112735803e-05,6.48851455318859e-05,6.68408372376183e-05,5.61075130391644e-05
"172",8.25311810130029e-05,6.72419112735803e-05,6.89061456096417e-05,5.69568076654144e-05
"173",9.51639372127625e-05,8.25311810130029e-05,7.39027590397102e-05,5.74263752319602e-05
